日本工営	誠意をもってことにあたり、技術を軸に社会に貢献する。
日本Ｍ＆Ａセンター	戦後の日本経済を支えてきた中堅・中小企業の経営者の「後継者問題」を解決し、企業を「存続」させる為の友好的M&Aを推進する。上場企業・上場予備軍を含む中堅企業に対し、成長戦略を実現させるための新規事業の推進等、より大きな「発展」を目指す経営戦略の立案・実施を支援する。
アコーディア・ゴルフ	ゴルフ場での一日を、もっと楽しく、快適に。一人ひとりが自分のスタイルで楽しめるゴルフ場へ。全国すべてのコースで、世界水準のサービスを。
パソナグループ	「社会の問題点を解決する」私達は「人を活かす」ことをサービスの原点とし、常に高い志と使命感を持ち、新たな雇用インフラを構築し、さらなる雇用創造に挑戦し続けることを使命とする。
リンクアンドモチベーション	当社の基幹技術「モチベーションエンジニアリング」によって、社員のやる気を成長エンジンとするモチベーションカンパニー創りに貢献してきました。モチベーションの観点から企業の組織診断を行い、その症状に応じてコンサルティングやパッケージなどのソリューションを提供する
テンプホールディングス	「雇用の創造」「人々の成長」「社会貢献」を企業理念に掲げ、あらゆる人々に「仕事を通じて夢や喜びを提供できる企業」を目指します。当社グループはこの企業理念を通じて、より良い社会のために貢献するCSR（Corporate Social Responsibility＝企業の社会的責任）を重視した事業活動を続けながら、日本はもとより世界中の人々から信頼され、期待される企業として、未来に向かって成長してまいります。 
学情	「お客様との共歓共苦」
スタジオアリス	「写真は未来の宝もの」。スタジオアリスは、このコンセプトのもと、“こども写真城”という新しいショップ展開によって、皆様の美しい思い出づくりのお手伝いをしています。心を込めて撮影した写真たちが、リビングやこども部屋に飾られて、毎日の暮らしの中でいきいきと息づく時、きっと感動が新たなものとなるに違いない。私たちは今日もそう願いながら、ご家族のあたたかい絆に包まれたこどもたちの幸せな笑顔の、いちばん近くで活動を続けています。
シミック	医薬品開発を通して人類へ貢献する企業へ
ＮＥＣフィールディング	私たちはフィールディング活動をとおしてお客さまの活躍と発展にお応えし安心と歓びをともにする豊かな社会の実現に貢献します。
綜合警備保障	我が社は、「ありがとうの心」と「武士の精神」をもって社業を推進し、人類生存の基本である社会の安全の確保に貢献するとともに、常にベストワンカンパニーを目指して最善を尽くす。 
カカクコム	「コンテンツ第一主義」真に有益なコンテンツ（情報・機能）を提供し、ユーザーからの信頼確保に努める「オープンでフェアな企業体」オープンでフェアな企業体となることにより、取引先、株主を初め社会からの信頼を確保する「自己実現を叶える組織」すべての従業員が十分に能力を発揮し、自己実現を達成しうる組織づくりを目指す
アイロムホールディングス	Quality of Healthy Life生活者のQOHL向上のために、次代の「統合医療」発展に貢献します。
ルネサンス	わたしたちルネサンスは「生きがい創造企業」としてお客様に健康で快適なライフスタイルを提案します。
