島村楽器株式会社,島村元紹
未来工業株式会社,山田雅裕
株式会社シュゼット,蟻田剛毅
日本電子株式会社,栗原権右衛門
株式会社カクヤス,佐藤順一
ブックオフコーポレーション株式会社,松下展千
テラモーターズ株式会社,徳重徹
株式会社ププレひまわり,梶原秀樹
株式会社銀蔵,香坂伸治
株式会社イーブックイニシアティブジャパン,小出斉
竹下製菓株式会社,竹下敏昭
メディシノバ・インク,岩城裕一
クニヒロ株式会社,川崎育造
株式会社ジャパネットたかた,高田旭人
株式会社買取王国,長谷川和夫
株式会社ねぎしフードサービス,根岸榮治
森下仁丹株式会社,駒村純一
アマノ機工株式会社,天野博道
株式会社シーズメン,椛島正司
株式会社オンリー,中西　浩一
株式会社日本パープル,林壮之介
株式会社インタートレード,尾崎孝博
株式会社フォーシーズ,淺野秀則
株式会社ひょうたんや,中嶋和義
株式会社ハウスドゥ,安藤 正弘
アイリスオーヤマ株式会社,大山健太郎
燦ホールディングス株式会社,古内 耕太郎
東京トランス株式会社,水野剛宏
株式会社グラム,中川一光
株式会社プロレスリング・ノア,田上明
株式会社オンライフ,持丸正裕
ウエスギ株式会社,上杉繁樹
株式会社JP Links,中村 景太
ジェイコムホールディングス株式会社,岡本泰彦
株式会社ウォーターダイレクト,伊久間努
株式会社カスタムジャパン,村井基輝
オリックスレンタカー栃木株式会社,矢嶋史朗
株式会社ガイアコミュニケーションズ,栗原弘樹
国際産業技術株式会社,立花和昭
株式会社ニューオーダー,青山直樹
ディーアンドエイチ株式会社,坂口　剛彦
青森トヨペット株式会社,安田 亮
株式会社新堀製作所,新堀寛
株式会社平安,山本泰
株式会社マックスガイ,矢内芳則
株式会社SAL,魚住琢
株式会社メイクス,仲村周作
日本工装株式会社,池谷隆司
株式会社マネージビジネス,檜物茂
株式会社Sekinet,関根義光
新星商事株式会社,花井祐平
株式会社SBC,菅野高弘
インタセクト・コミュニケーションズ株式会社,譚玉峰
株式会社パールトーン,由本敏次
株式会社ワンプロテクト,高村一成
株式会社 久原本家グループ本社,河邉哲司
株式会社現代建築研究所,飯田修一
吉野化成株式会社,吉野孝典
株式会社中村土木建設,中村陽公
株式会社パラディアム,笹森 俊夫
株式会社マッツワークス,松本吉幸
株式会社佐田,佐田 展隆
全国健康生活普及会／日本カイロプラクティック 連合会,岩間信憲
アスクル株式会社,岩田彰一郎
株式会社一心亭,小野敦司
株式会社Rooters,土居宏次
（株）フォーラムエイト,伊藤裕二
株式会社秋山製作所,中島孝夫
株式会社丸三電機,竹村元秀
グローバル・エデュケーションアンドトレーニング・コンサルタンツ株式会社,布留川勝
株式会社フューチャーブレーン,佐藤剛
株式会社セルビー,松谷稔哉
有限会社アキダイ,秋葉弘道
株式会社スカイ,森田崇
株式会社清家石材工業,清家伸二
株式会社日本ワークス,鎌田勇人
株式会社マエノ薬局,前納秀夫
株式会社シタシオンジャパン,小出紘道
株式会社スタートトゥデイ,前澤友作
カルチュア・コンビニエンス・クラブ株式会社,増田宗昭
株式会社山善,吉居亨
株式会社G-7ホールディングス,金田達三
アイティメディア株式会社,大槻利樹
綜合警備保障株式会社,村井温
株式会社ベリテ,平野和良
オリジナル設計株式会社,菅伸彦
株式会社インテリジェントウェイブ,山本祥之
株式会社ガーラ,菊川曉
株式会社サカタのタネ,坂田宏
ソフトブレーン株式会社,豊田浩文
株式会社スペースシャワーネットワーク,清水英明
株式会社日本トリム,森澤紳勝
株式会社オークファン,武永修一
協立電機株式会社,西雅寛
株式会社シーラ,湯藤善行
株式会社ニイタカ,奥山吉昭
株式会社ジェイエスエス,藤木孝夫
ラクオリア創薬株式会社,谷直樹
アドソル日進株式会社,上田富三
さくらインターネット株式会社,田中邦裕
株式会社enish,杉山全功
株式会社メドレックス,松村眞良
株式会社キングジム,宮本彰
 麻生フオームクリート株式会社,河村洋介
株式会社エリアクエスト,清原雅人
幼児活動研究会株式会社,山下孝一
株式会社デジタルデザイン,寺井和彦 
株式会社ゴーゴーカレーグループ,宮森宏和
株式会社ディスコ,夏井丈俊
株式会社アイスタイル,吉松徹郎
株式会社ベーシック,秋山勝
株式会社ドトールコーヒー,鳥羽博道
株式会社カプコン,辻本憲三
KLab株式会社,真田哲弥
